research_id,university,title,authors,publication_year,publication_date,abstract,research_field,tech_category,journal,doi,url,source
http://hdl.handle.net/10754/691073,KAUST,Elucidating the Role of Contact-Induced Gap States and Passivation Molecules at Perovskite/Metal Contacts,"Pradhan, Rakesh R.; Eswaran, Mathan Kumar; Subbiah, Anand Selvin; Babayigit, Aslihan; De Wolf, Stefaan; Schwingenschlögl, Udo",2023,2023-04-11 00:00:00+00:00,"Metal halide perovskite solar cells hold great promise as an efficient and cost-effective photovoltaic technology. However, carrier recombination at their contacts impedes progress toward this goal. In this study, considering the archetypical MAPbI3 perovskite and Au as a model electrode, we employ first-principles calculations to show how the mere presence of a metal near the perovskite induces in-gap states that may impair electronically this contact because of carrier recombination and Fermi level pinning. The states are not associated with any defect. We then investigate the suppression of the contact-induced gap states by introducing various passivation molecules to displace the metal from the perovskite surface. Our results highlight from a fundamental perspective the importance of contact displacement and passivation for efficient perovskite solar cells, thereby elucidating further the role of thin molecular interlayers in experimental devices. The elimination of contact-induced gap states can greatly aid perovskite solar cells in fulfilling their promise as a future mainstream source of renewable electricity.",,,ACS Applied Energy Materials,10.1021/acsaem.3c00292,http://hdl.handle.net/10754/691073,KAUST Repository
http://hdl.handle.net/10754/691069,KAUST,Enhanced Organic Electrochemical Transistor Performance of Donor–Acceptor Conjugated Polymers Modified with Hybrid Glycol/Ionic Side Chains by Postpolymerization Modification,"Ding, Bowen; Jo, Il-Young; Yu, Hang; Kim, Ji Hwan; Marsh, Adam V.; Gutiérrez-Fernández, Edgar; Ramos, Nicolás; Rapley, Charlotte L.; Rimmele, Martina; He, Qiao; Martin, Jaime; Gasparini, Nicola; Nelson, Jenny; Yoon, Myung-Han; Heeney, Martin",2023,2023-04-11 00:00:00+00:00,"Emergent bioelectronic technologies are underpinned by the organic electrochemical transistor (OECT), which employs an electrolyte medium to modulate the conductivity of its organic semiconductor channel. Here we utilize postpolymerization modification (PPM) on a conjugated polymer backbone to directly introduce glycolated or anionic side chains via fluoride displacement. The resulting polymers demonstrated increased volumetric capacitances, with subdued swelling, compared to their parent polymer in p-type enhancement mode OECTs. This increase in capacitance was attributed to their modified side chain configurations enabling cationic charge compensation for thin film electrochemical oxidation, as deduced from electrochemical quartz crystal microbalance measurements. An overall improvement in OECT performance was recorded for the hybrid glycol/ionic polymer compared to the parent, owing to its low swelling and bimodal crystalline orientation as imaged by grazing-incidence wide-angle X-ray scattering, enabling its high charge mobility at 1.02 cm2·V–1·s–1. Compromised device performance was recorded for the fully glycolated derivative compared to the parent, which was linked to its limited face-on stacking, which hindered OECT charge mobility at 0.26 cm2·V–1·s–1, despite its high capacitance. These results highlight the effectiveness of anionic side chain attachment by PPM as a means of increasing the volumetric capacitance of p-type conjugated polymers for OECTs, while retaining solid-state macromolecular properties that facilitate hole transport.",,,Chemistry of Materials,10.1021/acs.chemmater.3c00327,http://hdl.handle.net/10754/691069,KAUST Repository
http://hdl.handle.net/10754/691064,KAUST,Semi-universal geo-crack detection by machine learning,"Shi, Yongxiang; Ballesio, Marco; Johansen, Kasper; Trentman, Daniel James; Huang, Yunsong; McCabe, Matthew; Bruhn, Ronald; Schuster, Gerard T.",2023,2023-03-10 00:00:00+00:00,"Introduction: Cracks are a key feature that determines the structural integrity of rocks, and their angular distribution can be used to determine the local or regional stress patterns. The temporal growth of cracks can be monitored in order to predict impending failures of materials or structures such as a weakened dam. Thus, cracks and their spatial-temporal distributions should be automatically monitored for assessing their structural integrity, the associated stress patterns and their potential for failure. Method: We show that the U-Net convolutional neural network, semantic segmentation and transfer learning can be used to accurately detect cracks in drone photos of sedimentary massifs. In this case, the crack distributions are used to assess the safest areas for tunnel excavation. Compared to the coarse performance of ridge detection, the U-Net accuracy in identifying cracks in images can be as high as 98% when evaluated against human identification, which is sufficient for assessing the general crack properties of the rock faces for the engineering project. Result: Based on approximately 100 h of manual cracks labeling in 127 drone photos and 20 h of network training, the U-Net was able to successfully detect cracks in 23,845 high-resolution photographs in less than 22 h using two Nvidia V100 GPUs. Meanwhile, the network was able to detect more than 80% of the observable cracks of a volcanic outcrop in Idaho without additional training. With a modest amount of extra labeling on photos of the volcanic outcrop and transfer training, we found that the accuracy significantly improved. The surprising outcome of this research is that the U-Net crack detector laboriously trained on photos of sedimentary rocks can also be effectively applied to photos of volcanic rock faces. This can be important for real-time assessment of geological hazards and lithology information for dam inspection and planetary exploration by autonomous vehicles. For another application, we accurately detected fractures and faults with a scale of tens of kilometers from Martian photographs. Conclusions: In summary, our methodology of using CNN with transfer training suggests that it can be used as a semi-universal detector of cracks in across a range of diverse geological settings.",,,Frontiers in Earth Science,10.3389/feart.2023.1073211,http://hdl.handle.net/10754/691064,KAUST Repository
http://hdl.handle.net/10754/691054,KAUST,Structural Changes in Nonlocal Denoising Models Arising Through Bi-Level Parameter Learning,"Davoli, Elisa; Ferreira, Rita; Kreisbeck, Carolin; Schönberger, Hidde",2023,2023-04-10 00:00:00+00:00,"We introduce a unified framework based on bi-level optimization schemes to deal with parameter learning in the context of image processing. The goal is to identify the optimal regularizer within a family depending on a parameter in a general topological space. Our focus lies on the situation with non-compact parameter domains, which is, for example, relevant when the commonly used box constraints are disposed of. To overcome this lack of compactness, we propose a natural extension of the upper-level functional to the closure of the parameter domain via Gamma-convergence, which captures possible structural changes in the reconstruction model at the edge of the domain. Under two main assumptions, namely, Mosco-convergence of the regularizers and uniqueness of minimizers of the lower-level problem, we prove that the extension coincides with the relaxation, thus admitting minimizers that relate to the parameter optimization problem of interest. We apply our abstract framework to investigate a quartet of practically relevant models in image denoising, all featuring nonlocality. The associated families of regularizers exhibit qualitatively different parameter dependence, describing a weight factor, an amount of nonlocality, an integrability exponent, and a fractional order, respectively. After the asymptotic analysis that determines the relaxation in each of the four settings, we finally establish theoretical conditions on the data that guarantee structural stability of the models and give examples of when stability is lost.",,,Applied Mathematics & Optimization,10.1007/s00245-023-09982-4,http://hdl.handle.net/10754/691054,KAUST Repository
http://hdl.handle.net/10754/691052,KAUST,Advances in One-Pot Chiral Amine Synthesis Enabled by Amine Transaminase Cascades: Pushing the Boundaries of Complexity,"Mathew, Sam; Renn, Dominik; Rueping, Magnus",2023,2023-04-10 00:00:00+00:00,"Amine transaminases constitute an important class of enzymes for the synthesis of chiral amines, which are commonly used as building blocks in pharmaceutical compounds and fine chemicals. Over the past decade, developments in enzyme discovery and process and protein engineering have advanced the use of transaminases in organic synthesis. Recent advances in enzymatic cascade engineering have attracted attention due to efficient and environmentally friendly routes to synthesize chiral amines. Enzymatic cascades can reduce the traditional multistep synthesis and have enabled the generation of chiral products from cheap starting materials. This review focuses on chiral amine synthesis by enzymatic and chemoenzymatic cascades utilizing amine transaminases.",,,ACS Catalysis,10.1021/acscatal.3c00555,http://hdl.handle.net/10754/691052,KAUST Repository
http://hdl.handle.net/10754/691051,KAUST,Controlled Swelling of Monolithic Films as a Facile Approach to the Synthesis of UHMWPE Membranes,"Pochivalov, Konstantin; Basko, Andrey; Lebedeva, Tatyana; Yurov, Mikhail; Yushkin, Alexey; Volkov, Alexey; Bronnikov, Sergei",2023,2023-04-09 00:00:00+00:00,"A new method of fabricating porous membranes based on ultra-high molecular weight polyethylene (UHMWPE) by controlled swelling of the dense film was proposed and successfully utilized. The principle of this method is based on the swelling of non-porous UHMWPE film in organic solvent at elevated temperatures, followed by its cooling and further extraction of organic solvent, resulting in the formation of the porous membrane. In this work, we used commercial UHMWPE film (thickness 155 μm) and o-xylene as a solvent. Either homogeneous mixtures of the polymer melt and solvent or thermoreversible gels with crystallites acting as crosslinks of the inter-macromolecular network (swollen semicrystalline polymer) can be obtained at different soaking times. It was shown that the porous structure and filtration performance of the membranes depended on the swelling degree of the polymer, which can be controlled by the time of polymer soaking in organic solvent at elevated temperature (106 °C was found to be the optimal temperature for UHMWPE). In the case of homogeneous mixtures, the resulting membranes possessed both large and small pores. They were characterized by quite high porosity (45–65% vol.), liquid permeance of 46–134 L m−2 h−1 bar−1, a mean flow pore size of 30–75 nm, and a very high crystallinity degree of 86–89% at a decent tensile strength of 3–9 MPa. For these membranes, rejection of blue dextran dye with a molecular weight of 70 kg/mol was 22–76%. In the case of thermoreversible gels, the resulting membranes had only small pores located in the interlamellar spaces. They were characterized by a lower crystallinity degree of 70–74%, a moderate porosity of 12–28%, liquid permeability of up to 12–26 L m−2 h−1 bar−1, a mean flow pore size of up to 12–17 nm, and a higher tensile strength of 11–20 MPa. These membranes demonstrated blue dextran retention of nearly 100%.",,,Membranes,10.3390/membranes13040422,http://hdl.handle.net/10754/691051,KAUST Repository
http://hdl.handle.net/10754/691050,KAUST,Mechanism of bubbles formation and anomalous phase separation in the CoNiP system,"Panasyuk, Maria I.; Zubar, Tatiana I.; Usovich, Tatsiana I.; Tishkevich, Daria I.; Kanafyev, Oleg D.; Fedkin, Vladimir A.; Kotelnikova, Anna N.; Trukhanov, Sergei V.; Michels, Dominik L.; Lyakhov, Dmitry; Vershinina, Tatiana N.; Fedosyuk, Valery M.; Trukhanov, Alex V.",2023,2023-04-10 00:00:00+00:00,"This study announces the anomalous phase separation in CoNiP alloy electroplating. The observed phenomenon of the formation of magnetic bubbles was described for the first time for this triple CoNiP system. This study briefly covers all stages of magnetic bubble formation, starting from the formation of an amorphous phosphor-rich sublayer, followed by nucleation centers, and finally cobalt-rich bubbles. An explanation for the anomalous mechanism of bubble formation was found in the effects of additives and the phenomena of depolarization and superpolarization.",,,Scientific Reports,10.1038/s41598-023-33146-7,http://hdl.handle.net/10754/691050,KAUST Repository
http://hdl.handle.net/10754/682324,KAUST,Domain Wall Propagation and Pinning Induced by Current Pulses in Cylindrical Modulated Nanowires,"Bran, Cristina; Fernandez-Roldan, Jose Angel Fernandez; Moreno, Julian; Fraile Rodriguez, Arantxa; Perez del Real, Rafael; Asenjo, Agustina; Saugar, Elias; Marqués-Marchán, Jorge; Mohammed, Hanan; Foerster, Michael; Aballe, Lucia; Kosel, Jürgen; Vazquez, Manuel; Chubykalo-Fesenko, Oksana",2023,2023-04-10 00:00:00+00:00,"The future developments of 3D magnetic nanotechnology require the control of domain wall dynamics by means of current pulses. While this has been extensively studied in 2D magnetic strips (planar nanowires), few reports exist in cylindrical geometry, where Bloch Point domain walls are expected to have intriguing properties. Here we report this investigation in cylindrical magnetic Ni nanowires with geometrical notches. Experimental work based on synchrotron X-ray magnetic circular dichroism (XMCD) combined with photoemission electron microscopy (PEEM) indicates that large current densities induce domain wall nucleation while smaller currents move domain walls preferably antiparallel to the current direction. In the region where no pinning centers are present we found domain wall velocity of about 1 km/s. Thermal modelling indicates that large current densities temporarily raise the temperature in the nanowire above the Curie temperature leading to nucleation of domain walls during the system cooling. Micromagnetic modelling with spin-torque effect shows that for intermediate current densities Bloch Point domain walls with chirality parallel to the Oersted field propagate antiparallel to the current direction. In other cases, domain walls can be bounced from the notches and/or get pinned outside their positions. We thus find that current is not only responsible for the domain wall propagation but is also a source of pinning due to the Oersted field action.",,,Nanoscale,10.1039/d3nr00455d,http://hdl.handle.net/10754/682324,KAUST Repository
http://hdl.handle.net/10754/691044,KAUST,Viral predation pressure on coral reefs,"Silveira, Cynthia B; Luque, Antoni; Haas, Andreas F; Roach, Ty N F; George, Emma E; Knowles, Ben; Little, Mark; Sullivan, Christopher J; Varona, Natascha S; Wegley Kelly, Linda; Brainard, Russel; Rohwer, Forest; Bailey, Barbara",2023,2023-04-11 00:00:00+00:00,"Background: Predation pressure and herbivory exert cascading effects on coral reef health and stability. However, the extent of these cascading effects can vary considerably across space and time. This variability is likely a result of the complex interactions between coral reefs’ biotic and abiotic dimensions. A major biological component that has been poorly integrated into the reefs' trophic studies is the microbial community, despite its role in coral death and bleaching susceptibility. Viruses that infect bacteria can control microbial densities and may positively affect coral health by controlling microbialization. We hypothesize that viral predation of bacteria has analogous effects to the top-down pressure of macroorganisms on the trophic structure and reef health. Results: Here, we investigated the relationships between live coral cover and viruses, bacteria, benthic algae, fish biomass, and water chemistry in 110 reefs spanning inhabited and uninhabited islands and atolls across the Pacific Ocean. Statistical learning showed that the abundance of turf algae, viruses, and bacteria, in that order, were the variables best predicting the variance in coral cover. While fish biomass was not a strong predictor of coral cover, the relationship between fish and corals became apparent when analyzed in the context of viral predation: high coral cover (> 50%) occurred on reefs with a combination of high predator fish biomass (sum of sharks and piscivores > 200 g m−2) and high virus-to-bacteria ratios (> 10), an indicator of viral predation pressure. However, these relationships were non-linear, with reefs at the higher and lower ends of the coral cover continuum displaying a narrow combination of abiotic and biotic variables, while reefs at intermediate coral cover showed a wider range of parameter combinations. Conclusions: The results presented here support the hypothesis that viral predation of bacteria is associated with high coral cover and, thus, coral health and stability. We propose that combined predation pressures from fishes and viruses control energy fluxes, inhibiting the detrimental accumulation of ecosystem energy in the microbial food web.",,,BMC biology,10.1186/s12915-023-01571-9,http://hdl.handle.net/10754/691044,KAUST Repository
http://hdl.handle.net/10754/691043,KAUST,Thymic function and survival at advance ages in nursing home residents from Southern Italy,"Paparazzo, Ersilia; Geracitano, Silvana; Lagani, Vincenzo; Citrigno, Luigi; Bartolomeo, Denise; Aceto, Mirella Aurora; Bruno, Francesco; Maletta, Raffaele; Passarino, Giuseppe; Montesanto, Alberto",2023,2023-04-10 00:00:00+00:00,"Background: Immunosenescence is a complex process characterized by an age-related remodelling of immune system. The prominent effects of the immunosenescence process is the thymic involution and, consequently, the decreased numbers and functions of T cells. Since thymic involution results in a collapse of the T-cell receptor (TCR) repertoire, a reliable biomarker of its activity is represented by the quantification of signal joint T-cell receptor rearrangement excision circles (sjTRECs) levels. Although it is reasonable to think that thymic function could play a crucial role on elderly survival, only a few studies investigated the relationship between an accurate measurement of human thymic function and survival at old ages. Methods and findings: By quantifying the amount sjTRECs by real-time polymerase chain reaction (PCR), the decrease in thymic output in 241 nursing home residents from Calabria (Southern Italy) was evaluated to investigate the relationship between thymic function and survival at old ages. We found that low sjTREC levels were associated with a significant increased risk of mortality at older ages. Nursing home residents with lower sjTREC exhibit a near 2-fold increase in mortality risk compared to those with sjTREC levels in a normal range. Conclusion: Thymic function failure is an independent predictor of mortality among elderly nursing home residents. sjTREC represents a biomarker of effective ageing as its blood levels could anticipate individuals at high risk of negative health outcomes. The identification of these subjects is crucial to manage older people's immune function and resilience, such as, for instance, to plan more efficient vaccinal campaigns in older populations.",,,Immunity & ageing : I & A,10.1186/s12979-023-00340-0,http://hdl.handle.net/10754/691043,KAUST Repository
