research_id,university,title,authors,publication_year,publication_date,abstract,research_field,tech_category,journal,doi,url,source
KFUPM_c954706c-188f-4ae4-91b6-54cddf544465,King Fahd University of Petroleum and Minerals,Heat transmission in Darcy-Forchheimer flow of Sutterby nanofluid containing gyrotactic microorganisms,Ambreen A. Khan; Alina Arshad; R. Ellahi; Sadiq M. Sait,2023,2023-01-03,"Purpose: This paper aims to deal with the heat transmission of Sutterby fluid-containing gyrotactic microorganism by incorporating non-Darcy resistance law. The mathematical modeling is based on nanoparticle concentration, energy, momentum and motile microorganism equations. Design/methodology/approach: The governing nonlinear coupled equations are first rendered into nonlinear ordinary equations using appropriate transformation and are then solved analytically by using the optimal homotopy. Findings: Graphical illustration of results depict the behavior of flow involved physical parameters on temperature, gyrotactic microorganism, concentration and velocity. Additionally, local Nusselt number and skin friction coefficient are computed numerically and validated through comparison with existing literature as a special case of proposed model. It is found that the temperature profile decreases by increasing values of Brownian-motion parameter and Prandtl number. An increase in thermophoresis parameter and Schmidt number results in decrease in concentration of nanoparticles. Bioconvection Peclet number corresponds to decreasing behavior of nondimensional gyrotactic microorganism field is observed. Finally, a comparison with the existing literature is made, and an excellent agreement is seen. Originality/value: To the best of the authors’ knowledge, this study is reported for the first time.",,,International Journal of Numerical Methods for Heat and Fluid Flow,10.1108/hff-03-2022-0194,https://pure.kfupm.edu.sa/en/publications/c954706c-188f-4ae4-91b6-54cddf544465,KFUPM Pure (OAI-PMH)
KFUPM_3d94024a-b56a-471c-b3fa-cc06a68ed1d2,King Fahd University of Petroleum and Minerals,Are mega-events super spreaders of infectious diseases similar to COVID-19? A look into Tokyo 2020 Olympics and Paralympics to improve preparedness of next international events,Tamal Chowdhury; Hemal Chowdhury; Elza Bontempi; Mario Coccia; Hasan Masrur; Sadiq M. Sait; Tomonobu Senjyu,2023,,"Tokyo Summer Olympics and Paralympics have raised social issues regarding the potential rise in COVID-19 cases in Japan and risks associated with the safe organization of mega sporting events during the pandemic, such as the FIFA World Cup Qatar 2022. This study investigates the Tokyo Summer Olympics as a unique case study to clarify the drivers of infectivity and provide guidelines to host countries for the safe organization of subsequent international sporting events. The result here reveals that Tokyo and Japan did not experience a rise in confirmed cases of COVID-19 due to the hosting of the Summer Olympics. Still, transmission dynamics seems to be mainly driven by the high density of population (about 1.2%, p-value <0.001) like other larger cities in Japan (result confirmed with Mann-Whitney U test, significance at 0.05). Our study provided evidence that hosting mega sporting events during this COVID-19 pandemic is safe if strictly maintained the precautions with non-pharmaceutical (and pharmaceutical) measures of control of infections. The Tokyo Summer Olympics hosting will be exemplary for next international events due to the successful implementation of preventive measures during COVID-19 pandemic crisis.",SDG 3 - Good Health and Well-being,,Environmental Science and Pollution Research,10.1007/s11356-022-22660-2,https://pure.kfupm.edu.sa/en/publications/3d94024a-b56a-471c-b3fa-cc06a68ed1d2,KFUPM Pure (OAI-PMH)
KFUPM_718632be-16ea-4617-ac51-03e44082747d,King Fahd University of Petroleum and Minerals,Genetic algorithm optimization to model business investment in fashion design,Khaled A. Al Utaibi; Robia Arif; Sadiq M. Sait; Ayesha Sohail; Mahnoor Awan,2023,,"In the field of marketing, business and finance, the rise and fall and the associated bifurcations can be better interpreted with the aid of differential equations and the dynamical systems. The differential equations, when Incorporated with the delayed dynamics can interpret the financial delays in more realistic manner. The parametric approximation of such differential equations can be achieved with the aid of robust optimization tool, that is termed as the genetic algorithm. In this manuscript, the concept of delay is invoked with the aid of specific factors linked with the raise and fall of investment frequency in the field of fashion industry and the corresponding stability is modeled with the aid of detailed dynamical analysis. The stability and instability criteria of delay differential equations, governing the dynamics of the investment trends is reported in this manuscript. The bifurcation and their relative criteria of occurrence is discussed. The Hopf bifurcation is important since with the aid of the bifurcation analysis, one can obtain a region of instability, and can thus invest in a safer manner by avoiding such circumstances.",,,International Journal of Management Science and Engineering Management,10.1080/17509653.2022.2076169,https://pure.kfupm.edu.sa/en/publications/718632be-16ea-4617-ac51-03e44082747d,KFUPM Pure (OAI-PMH)
KFUPM_a6621fce-0a4b-489a-a886-02a1441c86ad,King Fahd University of Petroleum and Minerals,Natural convection nanofluid flow with heat transfer analysis of carbon nanotubes–water nanofluid inside a vertical truncated wavy cone,Rahmat Ellahi; Ahmed Zeeshan; Aamir Waheed; Nasir Shehzad; Sadiq M. Sait,2023,2023-07-15,"The flow of heat transfer study of carbon nanotubes (CNTs)–water nanofluid over vertical truncated wavy cone is considered. The present boundary layer power law fluid is analyzed near the truncated wavy cone. The considered cone is wavy in physical configuration and placed in a vertical direction. Moreover, nanosized particles of CNTs suspended into water (base fluid) are transporting in two directions, which are modeled by using Boussinesq's approximation. Coordinate transformation is applied in order to shift the wavy surface to a flat surface. Then governing equation dealing with the momentum of nanofluid along with thermal stratification are reduced in dimensionless form by using appropriate transformation. Results point out that the thickness of thermal boundary layer decreases by increasing the value of volume fraction of carbon nanotubes. Finally, the obtained solution is related through a graphical survey, and it is inferred that the investigation is in good accordance with the current literature.",,,Mathematical Methods in the Applied Sciences,10.1002/mma.7281,https://pure.kfupm.edu.sa/en/publications/a6621fce-0a4b-489a-a886-02a1441c86ad,KFUPM Pure (OAI-PMH)
KFUPM_fa1bbebf-be43-4d6a-8f75-2c9caa682d7b,King Fahd University of Petroleum and Minerals,Lightweight Two-Factor-Based User Authentication Protocol for IoT-Enabled Healthcare Ecosystem in Quantum Computing,Alawi A. Al-saggaf; Tarek Sheltami; Hoda Alkhzaimi; Gamil Ahmed,2023,,"The healthcare ecosystem is migrating from legacy systems to the Internet of Things (IoT), resulting in a digital environment. This transformation has increased importance on demanding both secure and usable user authentication methods. Recently, a post-quantum fuzzy commitment scheme (PQFC) has been constructed as a reliable and efficient method of biometric template protection. This paper presents a new two-factor-based user authentication protocol for the IoT-enabled healthcare ecosystem in post-quantum computing environments using the PQFC scheme. The proposed protocol is proved to be secure using random oracle model. Furthermore, the functionality and security of the proposed protocol are analyzed, showing that memoryless-effortless, user anonymity, mutual authentication, and resistance to biometric templates tampering and stolen attacks, stolen smart card attack, privileged interior attack are fulfilled. The costs of storage requirement, computation, communication and storage are estimated. The results demonstrate that the proposed protocol is more efficient than Mukherjee et al., Chaudhary et al., and Gupta et al. protocols.",,,Arabian Journal for Science and Engineering,10.1007/s13369-022-07235-0,https://pure.kfupm.edu.sa/en/publications/fa1bbebf-be43-4d6a-8f75-2c9caa682d7b,KFUPM Pure (OAI-PMH)
KFUPM_d7cf03a3-2bb5-4109-9a08-9dc57089995a,King Fahd University of Petroleum and Minerals,A Survey on Software-Defined Networking-Based 5G Mobile Core Architectures,Abdul Aziz Abdul Ghaffar; Ashraf Mahmoud; Tarek Sheltami; Marwan Abu-Amara,2023,,"Fifth generation (5G) of the cellular network is envisioned to provide diverse services to the users including high data rates, energy efficiency, and low latency. The number of Internet of Things-connected devices, multimedia applications, and mobile users are expected to grow in the next few years. The massive growth in data consumption poses new challenges such as availability and scalability in future cellular networks. Software-defined networking (SDN) is a network technology that introduces flexibility and eases the management of network architecture by separating the control plane and data plane. In this paper, we survey the relevant works that propose an SDN-based mobile core architecture in order to move toward the 5G networks and to handle the complexity of an enormous number of connected devices to the network. We propose a taxonomy in which we categorize these works based on four factors: technology adoption, control plane implementation, evaluation technique, and architecture used in these works. We also provide the shortcomings of these architectures that should be tackled in future research works.",SDG 7 - Affordable and Clean Energy,,Arabian Journal for Science and Engineering,10.1007/s13369-022-07183-9,https://pure.kfupm.edu.sa/en/publications/d7cf03a3-2bb5-4109-9a08-9dc57089995a,KFUPM Pure (OAI-PMH)
KFUPM_00b64955-9088-4d05-a185-b8c7b5c3eaf1,King Fahd University of Petroleum and Minerals,Optimization of FPGA-based CNN accelerators using metaheuristics,Sadiq M. Sait; Aiman El-Maleh; Mohammad Altakrouri; Ahmad Shawahna,2023,,"In recent years, convolutional neural networks (CNNs) have demonstrated their ability to solve problems in many fields and with accuracy that was not possible before. However, this comes with extensive computational requirements, which made general central processing units (CPUs) unable to deliver the desired real-time performance. At the same time, field-programmable gate arrays (FPGAs) have seen a surge in interest for accelerating CNN inference. This is due to their ability to create custom designs with different levels of parallelism. Furthermore, FPGAs provide better performance per watt compared to other computing technologies such as graphics processing units (GPUs). The current trend in FPGA-based CNN accelerators is to implement multiple convolutional layer processors (CLPs), each of which is tailored for a subset of layers. However, the growing complexity of CNN architectures makes optimizing the resources available on the target FPGA device to deliver the optimal performance more challenging. This is because of the exponential increase in the design variables that must be considered when implementing a Multi-CLP accelerator as CNN’s complexity increases. In this paper, we present a CNN accelerator and an accompanying automated design methodology that employs metaheuristics for partitioning available FPGA resources to design a Multi-CLP accelerator. Specifically, the proposed design tool adopts simulated annealing (SA) and tabu search (TS) algorithms to find the number of CLPs required and their respective configurations to achieve optimal performance on a given target FPGA device. Here, the focus is on the key specifications and hardware resources, including digital signal processors (DSPs), block random access memories (BRAMs), and off-chip memory bandwidth. Experimental results and comparisons using four well-known benchmark CNNs are presented demonstrating that the proposed acceleration framework is both encouraging and promising. The SA-/TS-based Multi-CLP achieves 1.31×-2.37× higher throughput than the state-of-the-art Single-/Multi-CLP approaches in accelerating AlexNet, SqueezeNet 1.1, VGGNet, and GoogLeNet architectures on the Xilinx VC707 and VC709 FPGA boards.",,,Journal of Supercomputing,10.1007/s11227-022-04787-8,https://pure.kfupm.edu.sa/en/publications/00b64955-9088-4d05-a185-b8c7b5c3eaf1,KFUPM Pure (OAI-PMH)
KFUPM_1fec151c-5f24-433b-9cdf-f51e84ae4900,King Fahd University of Petroleum and Minerals,Effect of Sea Waves on Vertical Underwater Visible Light Communication Links,Mohammed Elamassie; Sadiq M. Sait; Murat Uysal,2023,2023-04-01,"Underwater visible light communication (VLC) has been proposed to deal with emerging high bandwidth underwater applications. Initial research works on underwater VLC are based on the assumption that both transmitter and receiver are submerged, creating a horizontal link. In most of the vertical communication links, one of the transceiver nodes takes the form of a buoy and requires taking into the effect of the sea surface, which is inherently unsteady due to wind and waves. In this article, we consider a vertical underwater VLC link where the transmitter is in the form of a buoy at the sea surface, and the receiver is a submerged node at a certain depth. We assume sinusoidal waves and consider the fact that the buoy will fluctuate and oscillate, during drifting up and down, around its vertical axis. This effectively results in a 3-D displacement at the suspended transmitter. Building upon these assumptions of practical relevance, we propose an aggregate channel model, which includes a random path loss due to periodic changes of the transmission distance and a fading term induced by pointing errors with periodic changes of relative movement. Based on the proposed statistical model, we derive closed-form expressions for the exact and asymptotic bit error ratio and investigate the achievable diversity orders. We further present numerical results to confirm the analytical findings.",,,IEEE Journal of Oceanic Engineering,10.1109/joe.2022.3211286,https://pure.kfupm.edu.sa/en/publications/1fec151c-5f24-433b-9cdf-f51e84ae4900,KFUPM Pure (OAI-PMH)
KFUPM_52f2477e-895f-45cb-8cc9-a01be454a4a6,King Fahd University of Petroleum and Minerals,Adaptive Modulation for FSO IM/DD Systems with Multiple Transmitters and Receivers,Hatef Nouri; Sadiq M. Sait; Murat Uysal,2023,2023-02-01,"Atmospheric turbulence is a major impairment in free space optical (FSO) communication systems. Since turbulence induced fading exhibits quasi-static characteristics, reliable feedback of channel state information is possible allowing the implementation of adaptive transmission. In this letter, we consider multiple-input single-output (MISO) and single-input multiple-output (SIMO) FSO systems with pulse position modulation (PPM) and pulse amplitude modulation (PAM). We propose an adaptive algorithm where the modulation size/type is adjusted according to the channel fading conditions. We formulate the design of adaptive algorithm to maximize the spectral efficiency under peak and average power constraints while maintaining a targeted value of outage probability. We present extensive Monte Carlo simulations to demonstrate the performance of proposed adaptive scheme over turbulence channels.",,,IEEE Communications Letters,10.1109/lcomm.2022.3222992,https://pure.kfupm.edu.sa/en/publications/52f2477e-895f-45cb-8cc9-a01be454a4a6,KFUPM Pure (OAI-PMH)
KFUPM_d94b534f-8665-4e3b-8763-166842d23d2f,King Fahd University of Petroleum and Minerals,Thermal analysis and entropy generation of magnetic Eyring-Powell nanofluid with viscous dissipation in a wavy asymmetric channel,M. M. Bhatti; Sadiq M. Sait; R. Ellahi; Mikhail A. Sheremet; Hakan Oztop,2023,2023-04-25,"Purpose: This study aims to deal with entropy generation and thermal analysis of magnetic hybrid nanofluid containing silver and gold as nanoparticles (Au-Ag/NPs) in the Eyring–Powell fluid. Design/methodology/approach: The blood is used as a base fluid to study the rheological effects in a wavy asymmetric channel. The effect of viscous dissipation is also taken into account. The mathematical model is developed using the lubrication technique. The perturbation method is used to solve the nondimensional nonlinear differential equations, whereas the pumping properties have been analyzed using numerical integration. Findings: The impact of entropy generation, Brinkman number, Hartmann number, nanoparticles volume fraction, thermal Grashof number, Brinkman number and Eyring–Powell fluid parameter is examined on the velocity profile, temperature profile and pumping characteristics. It is observed that the introduction of gold and silver nanoparticles boosts the velocity field in a smaller segment of the channel. The temperature profile rises for the increasing values of Hartmann number, Brinkman number and nanoparticle volume fractions while the temperature profile is restrained by the Eyring–Powell fluid parameter. The pumping rate rises in all sections as the thermal Grashof number and Hartmann number increase; however, the Eyring–Powell fluid parameter has the reverse effect. The volume of the trapping boluses is significantly affected by the Eyring–Powell fluid parameter, thermal Grashof number and fluid parameter. Originality/value: The results are original and contribute to discover the role of hybrid nanoparticles under the influence of entropy generation viscous dissipation and magnetic fields. Pharmaceutical technology may use this research for things like better mucoadhesive drug delivery systems and more productive peristaltic micropumps.",,,International Journal of Numerical Methods for Heat and Fluid Flow,10.1108/hff-07-2022-0420,https://pure.kfupm.edu.sa/en/publications/d94b534f-8665-4e3b-8763-166842d23d2f,KFUPM Pure (OAI-PMH)
