research_id,university,title,matched_terms,selected
KSU_2023_0,KSU,Multilayer perceptron and Markov Chain analysis based hybrid-approach for predicting land use land cover change dynamics with Sentinel-2 imagery,multilayer perceptron,True
KSU_2023_1,KSU,Non-similar modeling and numerical simulations of microploar hybrid nanofluid adjacent to isothermal sphere,,False
KSU_2023_2,KSU,Bacterial or fungal origin phytase enzyme affects the performance and mineralization of calcium and phosphorus differently in broiler chickens fed deficient calcium and phosphorous diets,,False
KSU_2023_3,KSU,"Impact of dietary supplementation with cinnamon bark powder on broiler growth and carcass indices, small intestinal measurements, physico-chemical properties of meat and economics of production",,False
KSU_2023_4,KSU,The effects of betaine and nano-emulsified plant-oil supplementation on growth performance and serum biochemistry indices of heat-stressed broiler chickens,,False
KSU_2023_5,KSU,Antiapoptotic and anticoagulant effects of camel milk and camel urine in methotrexate-induced hepatotoxicity,,False
KSU_2023_6,KSU,Informing a cost-effectiveness threshold for Saudi Arabia,,False
KSU_2023_7,KSU,Design and statistical optimisation of emulsomal nanoparticles for improved anti-SARS-CoV-2 activity of N-(5-nitrothiazol-2-yl)-carboxamido candidates: in vitro and in silico studies,,False
KSU_2023_8,KSU,Ten-year cost-consequence analysis of weight loss on obesity-related outcomes in privately insured adults with obesity in Saudi Arabia,,False
KSU_2023_9,KSU,Phytochemical analysis and antifungal efficiency of Origanum majorana extracts against some phytopathogenic fungi causing tomato damping-off diseases,,False
KSU_2023_10,KSU,Brachiocephalic Artery Dissection Following Type A Aortic Dissection Repair,,False
KSU_2023_11,KSU,Black widow spider (Latrodectus renivulatus) envenomation in children in Saudi Arabia: a case series,,False
KSU_2023_12,KSU,Enhancing deep learning techniques for the diagnosis of the novel coronavirus (COVID-19) using X-ray images,artificial intelligence; deep learning; neural networks,True
KSU_2023_13,KSU,Public policies to increase physical activity and reduce sedentary behavior: a narrative synthesis of reviews of reviews,,False
KSU_2023_14,KSU,Pregnancy one month post abdominoplasty: a case report and review of literature,,False
KSU_2023_15,KSU,Selective and sensitive GC-MS analysis of carcinogenic N-nitrosodimethylamine in pharmaceuticals using a magnetic coconut carbon composite as a solid-phase extraction sorbent,,False
KSU_2023_16,KSU,"The study of new double perovskites K2AgAsX6 (X = Cl, Br) for energy-based applications",,False
KSU_2023_17,KSU,Budget impact of introducing oral semaglutide to the public healthcare benefit package in Saudi Arabia,,False
KSU_2023_18,KSU,"A Review of the Scope, Future, and Effectiveness of Using Artificial Intelligence in Cardiac Rehabilitation: A Call to Action for the Kingdom of Saudi Arabia",artificial intelligence,True
KSU_2023_19,KSU,In vitro protective and anti-inflammatory effects of Capparis spinosa and its flavonoids profile,,False
KSU_2023_20,KSU,Attenuating Effect of Spirulina (Arthrospira platensis) against Di (2-ethylhexyl) Phthalate Induced Toxicity in Wistar Rat,,False
KSU_2023_21,KSU,Optical solitons in cascaded systems using the Φ6-model expansion algorithm,,False
KSU_2023_22,KSU,"Serum biochemistry indices, leukogram, carcass variables and intestinal measurements of Eimeria tenella-infected or non-infected broilers treated with dietary Cinnamomum verum bark",,False
KSU_2023_23,KSU,"Determination of aflatoxin M1 (AFM1) in dairy sheep, goats and camel milk in Hail Region, Kingdom of Saudi Arabia and evaluation of different methods reducing its concentrations in milk",,False
KSU_2023_24,KSU,Enhanced functionality of fermented whey protein using water kefir,,False
KSU_2023_25,KSU,Examining the role of activation energy and convective boundary conditions in nanofluid behavior of Couette-Poiseuille flow,,False
KSU_2023_26,KSU,"Evaluation of dietary supplementation of frankincense oil on broiler chicken growth performance, hepatic histomorphology, antioxidant activity, blood biochemical parameters, and inflammatory responses",,False
KSU_2023_27,KSU,Assessment of the anti-inflammatory and analgesic effects of Opuntia ficus indica L. Cladodes extract,,False
KSU_2023_28,KSU,Interspecific heavy metal variations and bioaccumulation in peafowl (Pavo cristatus),,False
KSU_2023_29,KSU,Modelling of land use and land cover changes and prediction using CA-Markov and Random Forest,random forest,True
KSU_2023_30,KSU,"Polyphenols-rich polyherbal mixture attenuates hepatorenal impairment, dyslipidaemia, oxidative stress and inflammation in alloxan-induced diabetic rats",,False
KSU_2023_31,KSU,"Coated organic acids with essential oils in Japanese quail's fed restricted during the 2nd week of age: effects on performance, carcase traits, blood profile, antioxidants status, and caeca microbiota",,False
KSU_2023_32,KSU,"Identification of new 4-(6-oxopyridazin-1-yl)benzenesulfonamides as multi-target anti-inflammatory agents targeting carbonic anhydrase, COX-2 and 5-LOX enzymes: synthesis, biological evaluations and modelling insights",,False
KSU_2023_33,KSU,"New spiro-indeno[1,2-b]quinoxalines clubbed with benzimidazole scaffold as CDK2 inhibitors for halting non-small cell lung cancer; stereoselective synthesis, molecular dynamics and structural insights",,False
KSU_2023_34,KSU,Enrichment of apricot probiotic drink with sea buckthorn as a prebiotic and antioxidant source,,False
KSU_2023_35,KSU,"Assessment of Lavandula angustifolia L. essential oil as a natural feed additive on broiler chicken's growth, blood physiological markers, immunological status, intestinal histomorphology, and immunoexpression of CD3 and CD20",,False
KSU_2023_36,KSU,"Phytoconstituents of Butterbur (P. japonicus), their metabolic pathway and ability to modulate bone morphogenic protein (BMP) signaling",,False
KSU_2023_37,KSU,"Melanin antibacterial activity of two new strains, SN1 and SN2, of Exophiala phaeomuriformis against five human pathogens",,False
KSU_2023_38,KSU,Mechanochemical design of nanomaterials for catalytic applications with a benign-by-design focus,,False
KSU_2023_39,KSU,"Green synthesis of biofabricated silver nanoparticles from Syzygium aromaticum seeds: spectral characterization and evaluation of its anti-mycobacterial activity, cytotoxicity assessment on zebrafish embryo and Artemia salina",,False
KSU_2023_40,KSU,X-Ray Diffraction Studies of l-Isoleucine Under Shocked Conditions,,False
KSU_2023_41,KSU,"Impact of MWCNTs on the structural, electrical, and optical characteristics of PVA/PANi blends",,False
KSU_2023_42,KSU,"Impact of natural melanin doping on the structural, optical and dielectric characteristics of the PVP/CMC blend",,False
KSU_2023_43,KSU,"Metabolomic profile, anti-trypanosomal potential and molecular docking studies of Thunbergia grandifolia",,False
KSU_2023_44,KSU,"Development of canagliflozin nanocrystals sublingual tablets in the presence of sodium caprate permeability enhancer: formulation optimization, characterization, in-vitro, in silico, and in-vivo study",,False
KSU_2023_45,KSU,Optimisation of rice straw and acacia biochar doses in two soils for phosphorus availability,,False
KSU_2023_46,KSU,Understanding Arab social TV viewers' perceptions of virtual reality acceptance,,False
KSU_2023_47,KSU,"Garlic (Allium sativum), fenugreek (Trigonella foenum-graecum) and coriander (Coriandrum sativum): performance, nutrient digestibility and blood metabolites in broilers",,False
KSU_2023_48,KSU,"Impact of grape (Vitis vinifera) seed extract on egg production traits, nutrients digestability, lipid peroxidation and fertility of golden laying hens (Gallus gallus) during early stage of production",,False
