Publication Year,Month,Category,college,Research field ,Title,Source Title
2023,March,scopus,Arabic Language Teaching Institute for Non-Arabic Speakers,Humanitarian ,Sexual workplace violence in the health sector in Saudi Arabia: a cross sectional study,Computer Systems Science and Engineering
2023,April,SCOPUS,Arabic Language Teaching Institute for Non-Arabic Speakers,Humanitarian ,Spatial Analysis of Accessibility to Urban Green Spaces in Northern Neighbourhoods of Riyadh,Intelligent Automation and Soft Computing
2023,April,SCOPUS,Arabic Language Teaching Institute for Non-Arabic Speakers,Humanitarian ,"Association of CCND1 (c.723G > A, rs9344) variant with elevated risk of breast carcinoma: a retrospective case–control study",Intelligent Automation and Soft Computing
2023,August,scopus,Arabic Language Teaching Institute for Non-Arabic Speakers,Humanitarian ,Neuroprotective Effect of Barbaloin on Streptozotocin-Induced Cognitive Dysfunction in Rats via Inhibiting Cholinergic and Neuroinflammatory Cytokines Pathway─TNF-α/IL-1β/IL-6/NF-κB,Computer Systems Science and Engineering
2023,December,Wos,Arabic Language Teaching Institute for Non-Arabic Speakers,Humanitarian ,Adoption of antenatal care conversation mapping among health care providers in Saudi Arabia: Application of the diffusion innovation theory,PEERJ COMPUTER SCIENCE
2023,May,wos,King Abdullah bin Abdulaziz University Hospital/Health Sciences Research Centre,Health-related / Medical,A Positive Discourse Approach to the Arabic Facebook Posts of Two Egyptian Relationship Skills Coaches,POLYMERS
2023,May,scopus,King Abdullah bin Abdulaziz University Hospital/Health Sciences Research Centre,Health-related / Medical,Dissonance-based prevention of eating pathology in non-Western cultures: A randomized controlled trial of the Body Project among young Saudi adult women,Polymers
2023,March,WOS,King Abdullah bin Abdulaziz University Hospital/Health Sciences Research Centre,Health-related / Medical,A 6-Week Badminton-Based Movement Intervention Enhances Fundamental Movement Skills and Physical Fitness in Saudi Boys and Girls,Pharmacogenomics Journal
2023,May,wos,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,Relationship between emotional divorce and alexithymia among married women in Saudi Arabia,JOURNAL OF ORTHOPAEDIC TRAUMA
2023,May,scopus,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,Empowering Saudi women in the tourism and management sectors according to the Kingdom's 2030 vision,Inorganics
2023,June,scopus,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,Diagnostic Study of a Severe Dust Storm over North Africa and the Arabian Peninsula,Global Health Action
2023,June,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,"Shoreline change detection along North Sebou–Moulay Bousselham, based on remote sensing analysis",INFECTION AND DRUG RESISTANCE
2023,June,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,The Role of Digital Resources in Enhancing the Quality of Faculty Members’ Scientific Life at Princess Nourah Bint Abdulrahman University,CUREUS JOURNAL OF MEDICAL SCIENCE
2023,June,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,Predicting Distribution and Range Dynamics of Three Threatened Cypripedium Species under Climate Change Scenario in Western Himalaya,ADVANCES IN MEDICAL EDUCATION AND PRACTICE
2023,June,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,"Sanitary municipal landfill site selection by integration of GIS and multi-criteria techniques for environmental sustainability in Safita area, Tartous governorate, Syria",BMC WOMENS HEALTH
2023,June,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,Diagnostic Study of a Severe Dust Storm over North Africa and the Arabian Peninsula,NEUROLOGY
2023,July,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,"Ground Surface Deformation Analysis Integrating InSAR and GPS Data in the Karstic Terrain of Cheria Basin, Algeria",SAUDI JOURNAL OF MEDICINE & MEDICAL SCIENCES
2023,July,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,Modeling the impacts of projected climate change on wheat crop suitability in semi-arid regions using the AHP-based weighted climatic suitability index and CMIP6,BMC NEUROLOGY
2023,April,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,"Multivariate statistical algorithms for landslide susceptibility assessment in Kailash Sacred landscape, Western Himalaya",GLOBAL HEALTH ACTION
2023,April,WOS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,The Effects of Cognitive Bias Modification on Hostile Interpretation Bias and Aggressive Behavior: A Systematic Review and Meta-analysis,CLINICAL CASE REPORTS
2023,April,SCOPUS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,Evaluation of Water Quality Index (WQI) in and around Dhaka City Using Groundwater Quality Parameters,BMC Medical Education
2023,April,SCOPUS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,An efficient privacy-preserving control mechanism based on blockchain for E-health applications,Nature
2023,April,SCOPUS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,"Earthquake preparedness in an urban area: the case of Dhaka city, Bangladesh",Annals of Saudi medicine
2023,April,SCOPUS,King Abdullah bin Abdulaziz University Hospital,Health-related / Medical,Spatial Analysis of Accessibility to Urban Green Spaces in Northern Neighbourhoods of Riyadh,BMC Public Health
