research_id,university,title,authors,publication_year,publication_date,abstract,research_field,tech_category,journal,doi,url,source,validation_error
PNU-1,PNU,spatial analysis of accessibility to urban green spaces in northern neighbourhoods of riyadh,,2023,2026-04-19,,humanitarian,,International Research Journal of Modernization in Engineering Technology &amp; Science,10.56726/irjmets80698,https://doi.org/10.56726/irjmets80698,PNU Open Data,authors is missing
PNU-77,PNU,current waste management issues in developing countries and iot-based solutions in prospect of smart city development,,2023,,,health-related / medical,,Journal of Scientific &amp; Industrial Research,10.56042/jsir.v82i9.1406,https://doi.org/10.56042/jsir.v82i9.1406,PNU Open Data,authors is missing
PNU-304,PNU,energy model for describing the viscoelastic behavior of knitted cotton fabric during relaxation,,2023,2023-07-20,,scientific,,JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS,10.23812/j.biol.regul.homeost.agents.20233707.371,https://doi.org/10.23812/j.biol.regul.homeost.agents.20233707.371,PNU Open Data,authors is missing
PNU-551,PNU,molluscicidal and larvicidal potency of n-heterocylic analogs against biomophalaria alexandrina snails and schistosoma mansoni larval stages,,2023,,,scientific,,,10.1021/acsomega.3c00413.s001,https://doi.org/10.1021/acsomega.3c00413.s001,PNU Open Data,authors is missing
PNU-2113,PNU,"synthesis and characterization of beta-cyclodextrin-hybridized exfoliated kaolinite single nanosheets as potential carriers of oxaliplatin with enhanced loading, release, and cytotoxic properties",,2023,,,scientific,,,10.1021/acsestengg.3c00401.s001,https://doi.org/10.1021/acsestengg.3c00401.s001,PNU Open Data,authors is missing
PNU-2519,PNU,first mesomorphic and dft characterizations for 3-(or 4-) n -alkanoyloxy benzoic acids and their optical applications,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-3153,PNU,designing of fluorine-substituted benzodithiophene-based small molecules with efficient photovoltaic parameters,,2023,,,health-related / medical,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-3508,PNU,evaluation of a “picture assisted illustration reinforcement” (pair) system for oral hygiene in children with autism: a double-blind randomized controlled trial,,2023,,,health-related / medical,,,10.1021/acs.cgd.4c00975.s001,https://doi.org/10.1021/acs.cgd.4c00975.s001,PNU Open Data,authors is missing
PNU-3542,PNU,comparison of enamel surface integrity after de-bracketing as affected by seven different orthodontic residual cement removal systems,,2023,,,health-related / medical,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-3583,PNU,efficient cancellable multi-biometric recognition system based on deep learning and bio-hashing,,2023,,,health-related / medical,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-3601,PNU,intelligent intrusion detection system for industrial internet of things environment,,2023,,,health-related / medical,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-3672,PNU,brain tumor detection and classification using deep learning and sine-cosine fitness grey wolf optimization,,2023,,,health-related / medical,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-3848,PNU,enhancing spam message classification and detection using transformer-based embedding and ensemble learning,,2023,2025-04-29,,scientific,,2025 3rd International Conference on Artificial Intelligence and Machine Learning Applications Theme: Healthcare and Internet of Things (AIMLA),10.1109/aimla63829.2025.11041243,https://doi.org/10.1109/aimla63829.2025.11041243,PNU Open Data,authors is missing
PNU-4013,PNU,enhancing prediction of brain tumor classification using images and numerical data features,,2023,,,scientific,,,10.1021/acs.energyfuels.5c01962.s001,https://doi.org/10.1021/acs.energyfuels.5c01962.s001,PNU Open Data,authors is missing
PNU-4189,PNU,construction of pilgrim framework-information seeking based on new norm selection criteria of hajj,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-4194,PNU,dynamic coati optimization algorithm for biomedical classification tasks,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-4195,PNU,effect of thermal radiation on electrically conducting nanofluid with slip conditions and heat source using artificial neural networks,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-4199,PNU,emerging advances in deep learning and computer vision for visual data search and mining in e-commerce,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-4200,PNU,enhanced dual convolutional neural network model using explainable artificial intelligence of fault prioritization for industrial 4.0,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-4201,PNU,enhancing prediction of brain tumor classification using images and numerical data features,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-4203,PNU,exploiting remote sensing imagery for vehicle detection and classification using an artificial intelligence technique,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
PNU-4204,PNU,finite-time complete periodic synchronization of memristive neural networks with mixed delays,,2023,,,scientific,,,,,PNU Open Data,authors is missing; doi is missing; url is missing
