research_id,university,title,authors,publication_year,publication_date,abstract,research_field,tech_category,journal,doi,url,source
PNU-0,PNU,sexual workplace violence in the health sector in saudi arabia: a cross sectional study,,2023,,,humanitarian,,computer systems science and engineering,,,PNU Open Data
PNU-1,PNU,spatial analysis of accessibility to urban green spaces in northern neighbourhoods of riyadh,,2023,,,humanitarian,,intelligent automation and soft computing,,,PNU Open Data
PNU-2,PNU,"association of ccnd1 (c.723g > a, rs9344) variant with elevated risk of breast carcinoma: a retrospective case–control study",,2023,,,humanitarian,,intelligent automation and soft computing,,,PNU Open Data
PNU-3,PNU,neuroprotective effect of barbaloin on streptozotocin-induced cognitive dysfunction in rats via inhibiting cholinergic and neuroinflammatory cytokines pathway─tnf-α/il-1β/il-6/nf-κb,,2023,,,humanitarian,,computer systems science and engineering,,,PNU Open Data
PNU-4,PNU,adoption of antenatal care conversation mapping among health care providers in saudi arabia: application of the diffusion innovation theory,,2023,,,humanitarian,,peerj computer science,,,PNU Open Data
PNU-5,PNU,a positive discourse approach to the arabic facebook posts of two egyptian relationship skills coaches,,2023,,,health-related / medical,,polymers,,,PNU Open Data
PNU-6,PNU,dissonance-based prevention of eating pathology in non-western cultures: a randomized controlled trial of the body project among young saudi adult women,,2023,,,health-related / medical,,polymers,,,PNU Open Data
PNU-7,PNU,a 6-week badminton-based movement intervention enhances fundamental movement skills and physical fitness in saudi boys and girls,,2023,,,health-related / medical,,pharmacogenomics journal,,,PNU Open Data
PNU-8,PNU,relationship between emotional divorce and alexithymia among married women in saudi arabia,,2023,,,health-related / medical,,journal of orthopaedic trauma,,,PNU Open Data
PNU-9,PNU,empowering saudi women in the tourism and management sectors according to the kingdom's 2030 vision,,2023,,,health-related / medical,,inorganics,,,PNU Open Data
PNU-10,PNU,diagnostic study of a severe dust storm over north africa and the arabian peninsula,,2023,,,health-related / medical,,global health action,,,PNU Open Data
PNU-11,PNU,"shoreline change detection along north sebou–moulay bousselham, based on remote sensing analysis",,2023,,,health-related / medical,,infection and drug resistance,,,PNU Open Data
PNU-12,PNU,the role of digital resources in enhancing the quality of faculty members’ scientific life at princess nourah bint abdulrahman university,,2023,,,health-related / medical,,cureus journal of medical science,,,PNU Open Data
PNU-13,PNU,predicting distribution and range dynamics of three threatened cypripedium species under climate change scenario in western himalaya,,2023,,,health-related / medical,,advances in medical education and practice,,,PNU Open Data
PNU-14,PNU,"sanitary municipal landfill site selection by integration of gis and multi-criteria techniques for environmental sustainability in safita area, tartous governorate, syria",,2023,,,health-related / medical,,bmc womens health,,,PNU Open Data
PNU-15,PNU,diagnostic study of a severe dust storm over north africa and the arabian peninsula,,2023,,,health-related / medical,,neurology,,,PNU Open Data
PNU-16,PNU,"ground surface deformation analysis integrating insar and gps data in the karstic terrain of cheria basin, algeria",,2023,,,health-related / medical,,saudi journal of medicine & medical sciences,,,PNU Open Data
PNU-17,PNU,modeling the impacts of projected climate change on wheat crop suitability in semi-arid regions using the ahp-based weighted climatic suitability index and cmip6,,2023,,,health-related / medical,,bmc neurology,,,PNU Open Data
PNU-18,PNU,"multivariate statistical algorithms for landslide susceptibility assessment in kailash sacred landscape, western himalaya",,2023,,,health-related / medical,,global health action,,,PNU Open Data
PNU-19,PNU,the effects of cognitive bias modification on hostile interpretation bias and aggressive behavior: a systematic review and meta-analysis,,2023,,,health-related / medical,,clinical case reports,,,PNU Open Data
PNU-20,PNU,evaluation of water quality index (wqi) in and around dhaka city using groundwater quality parameters,,2023,,,health-related / medical,,bmc medical education,,,PNU Open Data
PNU-21,PNU,an efficient privacy-preserving control mechanism based on blockchain for e-health applications,,2023,,,health-related / medical,,nature,,,PNU Open Data
PNU-22,PNU,"earthquake preparedness in an urban area: the case of dhaka city, bangladesh",,2023,,,health-related / medical,,annals of saudi medicine,,,PNU Open Data
PNU-23,PNU,spatial analysis of accessibility to urban green spaces in northern neighbourhoods of riyadh,,2023,,,health-related / medical,,bmc public health,,,PNU Open Data
PNU-24,PNU,urban green spaces distribution and disparities in congested populated areas: a geographical assessment from pakistan,,2023,,,health-related / medical,,journal of perinatal medicine,,,PNU Open Data
PNU-25,PNU,"corrigendum to “mapping coastal vulnerability using machine learning algorithms: a case study at north coastline of sebou estuary, morocco” [reg. stud. mar. sci. 60c (2023) 102829] (regional studies in marine science (2023) 60, (s235248552300018x), (10.1016/j.rsma.2023.102829))",,2023,,,health-related / medical,,jpras open,,,PNU Open Data
PNU-26,PNU,"mapping the impacts of the anthropogenic activities and seawater intrusion on the shallow coastal aquifer of port said, egypt",,2023,,,health-related / medical,,dermatology and therapy,,,PNU Open Data
PNU-27,PNU,"mapping coastal vulnerability using machine learning algorithms: a case study at north coastline of sebou estuary, morocco (vol 60c, 102829, 2023)",,2023,,,health-related / medical,,molecular genetics & genomic medicine,,,PNU Open Data
PNU-28,PNU,prioritizing sub-watersheds for soil erosion using geospatial techniques based on morphometric and hypsometric analysis: a case study of the indian wyra river basin,,2023,,,health-related / medical,,journal of surgical case reports,,,PNU Open Data
PNU-29,PNU,assessment the local scour around vertical and inclined oblong piers under shallow flow condition,,2023,,,health-related / medical,,healthcare,,,PNU Open Data
PNU-30,PNU,households’ vulnerability assessment: empirical evidence from cyclone-prone area of bangladesh,,2023,,,health-related / medical,,journal of education and health promotion,,,PNU Open Data
PNU-31,PNU,"desertification hazards in the middle zone of wadi fatimah, west saudi arabia",,2023,,,health-related / medical,,foot and ankle surgery,,,PNU Open Data
PNU-32,PNU,assessing the factors that determine renewable electricity consumption in the united states: an economic overview,,2023,,,health-related / medical,,foot and ankle surgery,,,PNU Open Data
PNU-33,PNU,covid-19 and sustainable development goals: a bibliometric analysis and swot analysis in malaysian context,,2023,,,health-related / medical,,international journal of molecular sciences,,,PNU Open Data
PNU-34,PNU,determinants of artificial intelligence adoption in smes: the mediating role of accounting automation,,2023,,,health-related / medical,,dermatology and therapy,,,PNU Open Data
PNU-35,PNU,"do oil, gold and metallic price volatilities prove gold as a safe haven during covid-19 pandemic? novel evidence from covid-19 data",,2023,,,health-related / medical,,indian journal of otolaryngology and head & neck surgery,,,PNU Open Data
PNU-36,PNU,ecological innovation for environmental sustainability and human capital development: the role of environmental regulations and renewable energy in advanced economies,,2023,,,health-related / medical,,molecular genetics & genomic medicine,,,PNU Open Data
PNU-37,PNU,effect of local antibiotic prophylaxis on postoperative deep infection in fracture surgery: a systematic review and meta-analysis,,2023,,,health-related / medical,,european journal of pharmaceutics and biopharmaceutics,,,PNU Open Data
PNU-38,PNU,public awareness and use of health tools provided by the portal of the ministry of health of saudi arabia,,2023,,,health-related / medical,,bmc musculoskeletal disorders,,,PNU Open Data
PNU-39,PNU,stumbling blocks of online learning during covid 19 pandemic – perspectives of students of selected universities in london,,2023,,,health-related / medical,,gastroenterology insights,,,PNU Open Data
PNU-40,PNU,the impact of multi-criteria ratings in social networking sites on the performance of online recommendation agents,,2023,,,health-related / medical,,journal of health population and nutrition,,,PNU Open Data
PNU-41,PNU,the role of social presence and trust on customer loyalty,,2023,,,health-related / medical,,bmc neurology,,,PNU Open Data
PNU-42,PNU,using mobile health applications to enhance physical activity in saudi arabia: a cross-sectional study on users' perceptions,,2023,,,health-related / medical,,cureus journal of medical science,,,PNU Open Data
PNU-43,PNU,new-venture gestation processes amid covid-19 pandemic: antecedents of saudi female nascent entrepreneurs,,2023,,,health-related / medical,,cureus journal of medical science,,,PNU Open Data
PNU-44,PNU,"tailoring the structural, optical and electrical properties of zinc oxide nanostructures by zirconium doping",,2023,,,health-related / medical,,cureus journal of medical science,,,PNU Open Data
PNU-45,PNU,the heterogeneous effect of leverage on firm performance: a quantile regression analysis,,2023,,,health-related / medical,,life-basel,,,PNU Open Data
PNU-46,PNU,the relationship between corporate social responsibility on social media and brand advocacy behavior of customers in the banking context,,2023,,,health-related / medical,,journal of surgical case reports,,,PNU Open Data
PNU-47,PNU,a clean and discreet service: the role of corruption and secrecy in profit shifting by multinational firms,,2023,,,health-related / medical,,plos one,,,PNU Open Data
PNU-48,PNU,evaluation of agronomic performance and genetic diversity analysis using simple sequence repeats markers in selected wheat lines,,2023,,,health-related / medical,,frontiers in public health,,,PNU Open Data
