research_id,university,title,authors,publication_year,publication_date,abstract,research_field,tech_category,journal,doi,url,source,publication_period,title_length
PNU-0,PNU,sexual workplace violence in the health sector in saudi arabia: a cross sectional study,Aseel Khaled AlHassan; Reem Tarik AlSaqat; Fahad Saleh Al Sweleh,2023,2023-10-06,"<jats:title>Abstract</jats:title>
                  <jats:sec>
                    <jats:title>Background</jats:title>
                    <jats:p>Sexual workplace violence occurs worldwide with increasing prevalence, causing psychological and physical injuries. However, only few reports from the Kingdom of Saudi Arabia have investigated the most involved health specialty and its association with other factors, such as working and sociodemographic conditions. The aim of this study was to determine the prevalence of workplace sexual violence over 12 months, from May 2018 to May 2019, circumstances related to the event, and consequences for the perpetrator and survivor and to identify associated factors among all healthcare workers (HCWs) in Saudi Arabia.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Methods</jats:title>
                    <jats:p>This cross-sectional study included all HCWs registered with the Saudi Commission for Health Specialties who worked for &gt; 1 year in the health sector (government or private) in Saudi Arabia until May 2019. A non-probability convenient sampling technique was used. A modified self-administered questionnaire sent via email was utilized to assess workplace violence. Descriptive statistics were used to report percentages and frequencies, while advanced statistics, such as bivariate analysis, were used to determine associations. Multivariate logistic binary regression analysis was used to assess the combined and individual associations between relevant predictors of exposure of HCWs to recent sexual violence at the workplace.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Results</jats:title>
                    <jats:p>
                      In total, 7,398 (male, 51.3%; female, 48.7%) HCWs were electively enrolled in the study (mean age 40 ± 8.62 years). Most were non-Saudi (60%). Overall, 3.9% were sexual violence survivors. Approximately 60.7%, 51.4%, 48.3%, and 65.9% of female workers, nurses, Saudi natives, and night shift workers (18:00 to 07:00), respectively, were significantly exposed to sexual violence. Furthermore, approximately 54.8% of those with direct physical contact with patients had a higher rate of exposure to sexual harassment (
                      <jats:italic>p</jats:italic>
                       = 0.001).
                    </jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Conclusions</jats:title>
                    <jats:p>The prevalence of sexual violence is low but remains a risk to HCWs, especially those working night shifts and having direct physical contact with patients. Thus, more support, specific strategies, and policies are needed to reduce the rate of occurrence, protect HCWs, and prevent such events. The underreporting of cases may be skewing the magnitude of the problem; thus, more education and additional research in Saudi Arabia are needed regarding sexual violence experienced by HCWs.</jats:p>
                  </jats:sec>",humanitarian,,BMC Health Services Research,10.1186/s12913-023-10080-y,https://doi.org/10.1186/s12913-023-10080-y,PNU Open Data,2023,87
PNU-2,PNU,"association of ccnd1 (c.723g > a, rs9344) variant with elevated risk of breast carcinoma: a retrospective case–control study",Mohamed Adel El-Eshmawy; Hanaa Elsayed Shahin; Nanis S. El-Beltagy; Dina Abdel Hamid; Ola M. Elfarargy; Dalia Hamouda Elsayed; Afaf M. Elsaid; Rami M. Elshazli; Noura M. Mohamed,2023,,,humanitarian,,Molecular Biology Reports,10.1007/s11033-022-08202-6,https://doi.org/10.1007/s11033-022-08202-6,PNU Open Data,2023,124
PNU-3,PNU,neuroprotective effect of barbaloin on streptozotocin-induced cognitive dysfunction in rats via inhibiting cholinergic and neuroinflammatory cytokines pathway─tnf-α/il-1β/il-6/nf-κb,Asma B. Omer; Obaid Afzal; Abdulmalik S. A. Altamimi; Shaktipal Patil; Shareefa A. AlGhamdi; Amira M. Alghamdi; Sami I. Alzarea; Waleed Hassan Almalki; Imran Kazmi,2023,2023-02-28,,humanitarian,,ACS Omega,10.1021/acsomega.2c08277,https://doi.org/10.1021/acsomega.2c08277,PNU Open Data,2023,181
PNU-4,PNU,adoption of antenatal care conversation mapping among health care providers in saudi arabia: application of the diffusion innovation theory,Anwar Alhashem; Bayader A. Alotaiby; Rahaf B. Al thobaiti; Mudhi M. Almaktoomi; Shahad I. Alzahrani; Alia A. Albaiz; Basil H. Aboul-Enein; Nada Benajiba,2023,2023-06-08,"<jats:sec id=""sec001"">
<jats:title>Aim</jats:title>
<jats:p>To measure the factors influencing on the adoption of antenatal care conversation mapping among health care providers in Riyadh (Saudi Arabia), using the diffusion innovation theory.</jats:p>
</jats:sec>
<jats:sec id=""sec002"">
<jats:title>Methods</jats:title>
<jats:p>88 healthcare providers (Riyadh) were recruited using a non-probability convenient sampling technique were trained on how to use a newly developed antenatal care conversation map. Data was collected by self-administrated questionnaire on health education services, adoption of conversation map and diffusion of innovation variables. The JMP statistical software from SAS version 14 was used to perform data analysis.</jats:p>
</jats:sec>
<jats:sec id=""sec003"">
<jats:title>Results</jats:title>
<jats:p>Printable tools were most common as used by 72.7% of participants and 83.0% of them did not hear about conversation map. The total mean score of diffusion of innovation variables showed was in general high. The total mean score of relative advantage and observability was high in participants aged between 40 to less than 50 years, while the total mean score of compatibility, complexity, and trialability was high in participants aged from 50 years and more. Significant differences were obtained in both compatibility and trialability considering the health educators specialty, p = 0.03 and p = 0.027 respectively. The linear correlations between diffusion of innovation variables was significantly positive (p-value &lt;0.01).</jats:p>
</jats:sec>
<jats:sec id=""sec004"">
<jats:title>Conclusion</jats:title>
<jats:p>All of diffusion of innovation variables were positive as per the opinion of the participants. Applying the conversation map on other health topics in Saudi Arabia and other Arabic-speaking countries is warranted. Measuring and evaluating the adoption rate of conversation mapping among health care providers on other health topics should be explored.</jats:p>
</jats:sec>",humanitarian,,PLOS ONE,10.1371/journal.pone.0286656,https://doi.org/10.1371/journal.pone.0286656,PNU Open Data,2023,139
PNU-12,PNU,the role of digital resources in enhancing the quality of faculty members’ scientific life at princess nourah bint abdulrahman university,Mohamed Abdelfattah; Heba Abdel-Aziz Abu-Bakr; Zakari Aretouyap; Mariam Hassan Sheta; Taher Mohammed Hassan; Mohamed H. Geriesh; Shams El-Din Shaheen; Haya M. Alogayell; Eman Mohamed M. EL-Bana; Ahmed Gaber,2023,2023-06-14,"<jats:p>The quality and quantity of groundwater resources have been continuously deteriorating as a result of anthropogenic activities and their excessive usage. This has intensified seawater intrusion, particularly in the coastal area of Egypt. The management of this issue and preventing ongoing groundwater contamination are crucial responsibilities. Thus, an integrated strategy using remote sensing, geophysical technique, and hydrogeochemical analysis is used in this work to identify the causes of degradation and evaluate their impacts on the groundwater quality in East Port Said, Egypt. The following points were identified: 1) Remote sensing analysis between 1984 and 2015 showed an increase in anthropogenic activities, such as the construction of fish farms and vegetation, which became their areas of 12.5 and 37.8 km<jats:sup>2</jats:sup> respectively. 2) Field observations demonstrated that the groundwater resources are being overexploited and it is expected that these human activities could have an impact on the groundwater quality. 3) The results of the resistivity approach indicated that sand and clay constitute the underlying layers and the shallow subsurface strata contain a high concentration of saline water. As a result, the aquifer is vulnerable to seawater intrusion due to its homogeneity. 4) Nineteen samples of groundwater were collected from the shallow Quaternary aquifer and the hydrochemical characteristic of the samples was identified. The hydrochemical analysis showed that the groundwater across the research area is of the Na-Cl water type and is highly saline (from 7,558 to 23,218 mg/L). By integrating the aforementioned techniques, it is evident that the research region is affected by anthropogenic activities as well as seawater intrusion on groundwater quality. These results serve as a solid base for further research on groundwater-surface water interactions and the evaluation of possible sources of contamination in the shallow aquifers under stress from anthropogenic activity in such environments.</jats:p>",health-related / medical,,Frontiers in Earth Science,10.3389/feart.2023.1204742,https://doi.org/10.3389/feart.2023.1204742,PNU Open Data,2023,137
PNU-14,PNU,"sanitary municipal landfill site selection by integration of gis and multi-criteria techniques for environmental sustainability in safita area, tartous governorate, syria",Mehrbakhsh Nilashi; Rabab Ali Abumalloh; Saidatulakmal Mohd; Sharifah Nurlaili Farhana Syed Azhar; Sarminah Samad; Ha Hang Thi; OA Alghamdi; Abdullah Alghamdi,2023,,,health-related / medical,,Telematics and Informatics,10.1016/j.tele.2022.101923,https://doi.org/10.1016/j.tele.2022.101923,PNU Open Data,2023,170
PNU-16,PNU,"ground surface deformation analysis integrating insar and gps data in the karstic terrain of cheria basin, algeria",Moyang Cui; Wing-Keung Wong; Worakamol Wisetsri; Fatma Mabrouk; Iskandar Muda; Zeyun Li; Marria Hassan,2023,,,health-related / medical,,Resources Policy,10.1016/j.resourpol.2022.103133,https://doi.org/10.1016/j.resourpol.2022.103133,PNU Open Data,2023,114
PNU-18,PNU,"multivariate statistical algorithms for landslide susceptibility assessment in kailash sacred landscape, western himalaya",Colin Kruse; Daniel Axelrod; Omar A. Al-Mohrej; Ryan Daniel; Herman Johal,2023,,"<jats:sec>
                    <jats:title>Objectives:</jats:title>
                    <jats:p>Despite the use of systemic antibiotic prophylaxis, postoperative infection after fracture surgery remains an issue. The purpose of this systematic review and meta-analysis was to evaluate the effect of locally applied antibiotics on deep infection in fracture surgery in both the open and closed fractures.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Data Sources:</jats:title>
                    <jats:p>A comprehensive search of MEDLINE, Embase, and PubMed was performed from the date of inception to April 15, 2021, and included studies in all languages.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Study Selection:</jats:title>
                    <jats:p>Cohort studies were eligible if they investigated the effect on the infection rate of local antibiotic prophylaxis on deep infection after fracture surgery.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Data Extraction:</jats:title>
                    <jats:p>This study was conducted according to the Cochrane Handbook for Systematic Reviews and reported as per the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Risk of bias was assessed using version 2 of the Cochrane risk-of-bias tool for randomized trials and the Methodological Index for Nonrandomized Studies tool where applicable.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Data Synthesis:</jats:title>
                    <jats:p>An inverse variance random-effects model was the primary analysis model because of the anticipated diversity in the evaluated populations. Univariate models were used when a single outcome was of interest.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Conclusions:</jats:title>
                    <jats:p>The risk of deep infection was significantly reduced when local antibiotics were applied compared with the control group receiving systemic prophylaxis only. This beneficial effect was observed in open fractures but failed to reach statistical significance in closed fractures. This meta-analysis suggests that there may be a significant risk reduction in deep infection rate after fracture surgery when local antibiotics are added to standard systemic prophylaxis, particularly in open fractures. Further high-powered Level I studies are needed to support these findings.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Level of Evidence:</jats:title>
                    <jats:p>Therapeutic Level III. See Instructions for Authors for a complete description of levels of evidence.</jats:p>
                  </jats:sec>",health-related / medical,,Journal of Orthopaedic Trauma,10.1097/bot.0000000000002487,https://doi.org/10.1097/bot.0000000000002487,PNU Open Data,2023,121
PNU-19,PNU,the effects of cognitive bias modification on hostile interpretation bias and aggressive behavior: a systematic review and meta-analysis,Mehrbakhsh Nilashi; Rabab Ali Abumalloh; Sarminah Samad; Behrouz Minaei-Bidgoli; Ha Hang Thi; O.A. Alghamdi; Muhammed Yousoof Ismail; Hossein Ahmadi,2023,,,health-related / medical,,Telematics and Informatics,10.1016/j.tele.2022.101919,https://doi.org/10.1016/j.tele.2022.101919,PNU Open Data,2023,136
PNU-21,PNU,an efficient privacy-preserving control mechanism based on blockchain for e-health applications,Alanoud Alsulami; Fatma Mabrouk; Jihen Bousrih,2023,2022-12-28,"<jats:p>One of the main challenges faced by companies, scholars, and governments nowadays is achieving economic, environmental, and social sustainability. Remote working, reduced work weeks, and other types of flexible working time arrangements (FWAs) are the new characteristics that will shape the future of work to ensure social sustainability. In changing work patterns, working styles are changed to possibly improve women employees’ mental health and life–work balance. However, recently, very few firms have succeeded in adopting these new FWA trends. The purpose of this paper is to investigate women’s preferences towards FWAs in the academic sector as a social sustainability source. We investigate the effect of the COVID-19 pandemic on female faculty members’ future job preferences. The data used in the research are collected from a survey given to female faculty members who work in a Saudi women’s university and have already experienced FWAs during the COVID-19 period. The study uses mixed methods of research, combining a choice modeling (CM) method, one sample t-test, a paired sample t-test, cluster analysis, and probit models. Our results show that flexible working arrangements improve the wellbeing of women employees, which ensures sustainable social development. The findings also show that flexibility in location plays a significant role in the decision made by female faculty members when revealing their flexibility preferences. However, flexibility in time did not play a significant role in the decisions made by respondents. This study adds to the empirical evidence in the current literature on female academic staff preferences for FWAs in Saudi Arabia, using choice modeling conjoint analysis and mixed approaches.</jats:p>",health-related / medical,,Sustainability,10.3390/su15010544,https://doi.org/10.3390/su15010544,PNU Open Data,2023,95
